"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner_Arr[0]"
3637,4104,1074,1542,0.7925840092699884,0.7720229250689875,0.7925840092699884,0.7925840092699884,0.7583148558758315,0.7474172057545622,0.49483881476204583,0,"all","DT"
3785,4728,450,1394,0.9130938586326767,0.8937426210153483,0.9130938586326767,0.9130938586326767,0.8368141592920354,0.8219561649126195,0.6439185938468007,0,"all","RF"
4479,1969,3209,700,0.8648387719636995,0.7377294866991383,0.8648387719636995,0.8648387719636995,0.6961995803217532,0.6225741044704065,0.2451128880820619,0,"all","NB"
3912,4506,672,1267,0.8702201622247973,0.8534031413612565,0.8702201622247973,0.8702201622247973,0.8229385444251666,0.8127836246017186,0.6255713995361812,0,"all","MLP"
3684,4082,1096,1495,0.7883352645809193,0.7707112970711297,0.7883352645809193,0.7883352645809193,0.7590887959088797,0.7498310321521676,0.4996657818008882,1,"all","DT"
3802,4733,445,1377,0.9140594824256469,0.8952201554038145,0.9140594824256469,0.9140594824256469,0.8385896527285612,0.8240803321425123,0.6481667748554218,1,"all","RF"
4494,2003,3175,685,0.8677350839930489,0.7451636904761905,0.8677350839930489,0.8677350839930489,0.6995641344956414,0.6273052042097133,0.25457579439622824,1,"all","NB"
3926,4531,647,1253,0.8750482811896485,0.8585173846490269,0.8750482811896485,0.8750482811896485,0.8266739646049991,0.8165491937819832,0.6331025296670995,1,"all","MLP"
3636,4108,1070,1543,0.7933565083043647,0.7726306842328942,0.7933565083043647,0.7933565083043647,0.7587034813925569,0.7477068649222748,0.4954181750870624,2,"all","DT"
3798,4750,428,1381,0.9173426033217459,0.8987221959299574,0.9173426033217459,0.9173426033217459,0.8400389070651693,0.8253355218692672,0.6506772474830044,2,"all","RF"
4482,2003,3175,697,0.8654180343695694,0.7418518518518519,0.8654180343695694,0.8654180343695694,0.6983483951386725,0.6261465675388626,0.2522585807534659,2,"all","NB"
3919,4552,626,1260,0.8791039011201236,0.8622662266226623,0.8791039011201236,0.8791039011201236,0.8283894449499546,0.8179009365646422,0.6358061748403886,2,"all","MLP"
3663,4076,1102,1516,0.787176516029355,0.7687303252885624,0.787176516029355,0.787176516029355,0.7569173630454967,0.7472240996427537,0.49445209690887554,3,"all","DT"
3803,4740,438,1376,0.9154113557358053,0.896722471115303,0.9154113557358053,0.9154113557358053,0.8393837435806623,0.8248527565897461,0.6497116361057707,3,"all","RF"
4489,2021,3157,690,0.8667696466499324,0.7454813721873847,0.8667696466499324,0.8667696466499324,0.7000389863547758,0.6285603939364681,0.25708660902726926,3,"all","NB"
3932,4500,678,1247,0.8690614136732329,0.8529284164859002,0.8690614136732329,0.8690614136732329,0.8237986270022883,0.8141353673843778,0.6282746749360526,3,"all","MLP"
3629,4107,1071,1550,0.7931633835457705,0.772127659574468,0.7931633835457705,0.7931633835457705,0.7580987540378404,0.746934440475041,0.4938733964220554,4,"all","DT"
3777,4743,435,1402,0.9159907300115875,0.8967236467236467,0.9159907300115875,0.9159907300115875,0.8377638435043715,0.822632036303949,0.6452704649682794,4,"all","RF"
4478,2013,3165,701,0.8646456844950763,0.7417096536477524,0.8646456844950763,0.8646456844950763,0.6984869755108407,0.6267258858742879,0.253417465858531,4,"all","NB"
3929,4513,665,1250,0.8715720355349555,0.8552459730082717,0.8715720355349555,0.8715720355349555,0.8249702952198154,0.8151008979434199,0.6302058259014766,4,"all","MLP"
3637,4079,1099,1542,0.7877558903051372,0.7679476351351351,0.7877558903051372,0.7877558903051372,0.7554403185480137,0.7450033793569566,0.4900109663304735,5,"all","DT"
3787,4748,430,1392,0.9169563538045578,0.8980317761441783,0.9169563538045578,0.9169563538045578,0.839017494256936,0.8240803321425123,0.6481669716496522,5,"all","RF"
4472,1969,3209,707,0.8634871596833366,0.7357997010463379,0.8634871596833366,0.8634871596833366,0.6954898911353034,0.621898233079077,0.24376118075400205,5,"all","NB"
3892,4529,649,1287,0.8746620316724604,0.8570799383395727,0.8746620316724604,0.8746620316724604,0.8239039476077861,0.8130732837694313,0.6261510111745154,5,"all","MLP"
3682,4111,1067,1497,0.7939358825801468,0.7753211202358391,0.7939358825801468,0.7939358825801468,0.7622844427962173,0.7524379646615815,0.5048798942554403,6,"all","DT"
3830,4756,422,1349,0.9185013518733102,0.900752587017874,0.9185013518733102,0.9185013518733102,0.8430381990605336,0.8290045379936275,0.6580149836343673,6,"all","RF"
