"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
459,433,143,116,0.7982608695652174,0.7887067395264117,0.7982608695652174,0.7982608695652174,0.7799490229396772,0.7749782797567333,0.5499745632348922,0,"all","DT#0","DT",0
485,496,80,90,0.8611111111111112,0.8584070796460177,0.8611111111111112,0.8611111111111112,0.8537005163511188,0.8523023457862728,0.7046000090581078,0,"all","RF#0","RF",0
436,467,109,139,0.8107638888888888,0.8,0.8107638888888888,0.8107638888888888,0.7901861252115059,0.7845351867940921,0.5690505306701692,0,"all","NB#0","NB",0
471,477,99,104,0.828125,0.8263157894736842,0.828125,0.828125,0.8245462402765773,0.8236316246741964,0.6472603205036269,0,"all","MLP#0","MLP",0
456,417,159,119,0.7930434782608695,0.7779850746268657,0.7930434782608695,0.7930434782608695,0.7663865546218487,0.7584708948740226,0.5169705935631908,1,"all","DT#1","DT",1
485,476,100,90,0.8434782608695652,0.8409893992932862,0.8434782608695652,0.8434782608695652,0.8362068965517241,0.8349261511728931,0.6698570371824097,1,"all","RF#1","RF",1
536,213,363,39,0.9321739130434783,0.8452380952380952,0.9321739130434783,0.9321739130434783,0.7272727272727272,0.6507384882710686,0.30181795136436884,1,"all","NB#1","NB",1
454,464,112,121,0.8055555555555556,0.8021201413427562,0.8055555555555556,0.8055555555555556,0.7993109388458225,0.7975673327541268,0.595128858936791,1,"all","MLP#1","MLP",1
462,434,142,113,0.8034782608695652,0.793418647166362,0.8034782608695652,0.8034782608695652,0.7837150127226462,0.7784535186794093,0.5569261007594777,2,"all","DT#2","DT",2
488,495,81,87,0.859375,0.8576449912126538,0.859375,0.859375,0.854922279792746,0.8540399652476107,0.708077065915452,2,"all","RF#2","RF",2
438,470,106,137,0.8159722222222222,0.8051470588235294,0.8159722222222222,0.8159722222222222,0.794590025359256,0.788879235447437,0.5777383905345812,2,"all","NB#2","NB",2
468,465,111,107,0.8139130434782609,0.8129370629370629,0.8139130434782609,0.8139130434782609,0.8110918544194107,0.8105994787141616,0.6212009589314074,2,"all","MLP#2","MLP",2
443,442,134,132,0.7704347826086957,0.7700348432055749,0.7704347826086957,0.7704347826086957,0.7690972222222222,0.7688966116420504,0.537794269944837,3,"all","DT#3","DT",3
456,497,79,119,0.8628472222222222,0.8523364485981308,0.8628472222222222,0.8628472222222222,0.8338926174496645,0.8279756733275413,0.6559303098013166,3,"all","RF#3","RF",3
