"Feature_set","Features","Model","N","Mean_accuracy","SD_accuracy","Median_accuracy","Q1_accuracy","Q3_accuracy","Minimum_accuracy","Maximum_accuracy"
"All (8)","Length + GC + A/C/G/U + MFE + pairing ratio","DT",1000,0.964102050011264,0.0029578845231189,0.964181121874296,0.962153638206803,0.965983329578734,0.954043703536833,0.972741608470376
"All (8)","Length + GC + A/C/G/U + MFE + pairing ratio","RF",1000,0.976271682811444,0.00208373150218747,0.976346023879252,0.974769092137869,0.977697679657581,0.968911917098446,0.982653750844785
"All (8)","Length + GC + A/C/G/U + MFE + pairing ratio","NB",1000,0.951091462041,0.00269819511339273,0.951115116017121,0.949312908312683,0.952917323721559,0.942104077494931,0.960351430502365
"All (8)","Length + GC + A/C/G/U + MFE + pairing ratio","MLP",1000,0.97154426672674,0.00307973474440329,0.971615228655103,0.96958774498761,0.973642712322595,0.959675602613201,0.979499887362018
"Composition (5)","GC + A/C/G/U","DT",1000,0.886822933093039,0.0043679056732614,0.88691146654652,0.883757603063753,0.889840054066231,0.871592701058797,0.899977472403695
"Composition (5)","GC + A/C/G/U","RF",1000,0.911882180671322,0.00364083994145712,0.911917098445596,0.909213786888939,0.914620410002253,0.901103852218968,0.921378688893895
"Composition (5)","GC + A/C/G/U","NB",1000,0.885572200946159,0.00435595328113106,0.885334534805136,0.882631223248479,0.888713674250957,0.872944356837125,0.900653300292859
"Composition (5)","GC + A/C/G/U","MLP",1000,0.904460238792521,0.00604442197780545,0.904820905609371,0.901103852218968,0.907862131110611,0.821130885334535,0.920702861004731
"Structure (2)","MFE + pairing ratio","DT",1000,0.937915296237891,0.0032680672666632,0.937823834196891,0.935796350529398,0.940301869790493,0.927235863933318,0.9477359765713
"Structure (2)","MFE + pairing ratio","RF",1000,0.946803334084253,0.0027753612657439,0.946834872719081,0.944807389051588,0.948637080423519,0.938950214012165,0.955395359315161
"Structure (2)","MFE + pairing ratio","NB",1000,0.935241270556432,0.00320333310787847,0.935345798603289,0.933093038972742,0.937373282270782,0.923406172561388,0.945257940977698
"Structure (2)","MFE + pairing ratio","MLP",1000,0.881409551700834,0.12655478881393,0.936922730344672,0.896598332957873,0.943962604190133,0.470601486821356,0.954043703536833
"Length (1)","Length only","DT",1000,0.44170871817977,0.00379594947706312,0.441766163550349,0.439062851993692,0.444469475107006,0.426897949988736,0.452354133813922
"Length (1)","Length only","RF",1000,0.442456409101149,0.00391933947781065,0.442441991439513,0.439738679882856,0.44514530299617,0.427348501914846,0.45415634151836
"Length (1)","Length only","NB",1000,0.498619734174364,0.00391108713660598,0.498986258166254,0.496282946609597,0.501239017796801,0.482315836900203,0.510475332282046
"Length (1)","Length only","MLP",1000,0.495807389051588,0.00475101321518994,0.496057670646542,0.492453255237666,0.499662086055418,0.477359765712998,0.509348952466772
