"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
343,356,220,232,0.6180555555555556,0.6092362344582594,0.6180555555555556,0.6180555555555556,0.6116838487972508,0.6072980017376195,0.2145811820262444,0,"all","DT#0","DT",0
325,395,181,250,0.6857638888888888,0.642292490118577,0.6857638888888888,0.6857638888888888,0.6470106470106469,0.6255430060816681,0.2510074268001951,0,"all","RF#0","RF",0
335,331,245,240,0.5826086956521739,0.5796847635726795,0.5826086956521739,0.5826086956521739,0.58008658008658,0.578627280625543,0.1572602863806886,0,"all","NB#0","NB",0
340,453,123,235,0.7864583333333334,0.734341252699784,0.7864583333333334,0.7864583333333334,0.716772151898734,0.6889661164205039,0.37782656487811944,0,"all","MLP#0","MLP",0
343,330,246,232,0.5965217391304348,0.5871886120996441,0.5965217391304348,0.5965217391304348,0.5893470790378007,0.5847089487402259,0.16943482474706156,1,"all","DT#1","DT",1
349,398,178,226,0.6909722222222222,0.6622390891840607,0.6909722222222222,0.6909722222222222,0.6633333333333332,0.6490008688097306,0.29795033456530656,1,"all","RF#1","RF",1
523,87,489,52,0.9095652173913044,0.6258992805755396,0.9095652173913044,0.9095652173913044,0.6591052299936989,0.5299739357080799,0.060566926710488425,1,"all","NB#1","NB",1
349,441,135,226,0.765625,0.7210743801652892,0.765625,0.765625,0.7095736122284795,0.6863596872284969,0.3726327137333178,1,"all","MLP#1","MLP",1
363,369,207,212,0.640625,0.6368421052631579,0.640625,0.640625,0.6378565254969749,0.635968722849696,0.2719314004483729,2,"all","DT#2","DT",2
330,396,180,245,0.6875,0.6470588235294118,0.6875,0.6875,0.6507806080525883,0.630755864465682,0.26143869793986413,2,"all","RF#2","RF",2
158,484,92,417,0.8402777777777778,0.632,0.8402777777777778,0.8402777777777778,0.6553825321597834,0.5577758470894874,0.11511686742438529,2,"all","NB#2","NB",2
335,395,181,240,0.6857638888888888,0.6492248062015504,0.6857638888888888,0.6857638888888888,0.652353426919901,0.634231103388358,0.26839649062944926,2,"all","MLP#2","MLP",2
338,353,223,237,0.6128472222222222,0.6024955436720143,0.6128472222222222,0.6128472222222222,0.6054888507718696,0.6003475238922676,0.20067755055209513,3,"all","DT#3","DT",3
344,386,190,231,0.6701388888888888,0.6441947565543071,0.6701388888888888,0.6701388888888888,0.6471081307627828,0.634231103388358,0.2684163723901993,3,"all","RF#3","RF",3
531,64,512,44,0.9234782608695652,0.5925925925925926,0.9234782608695652,0.9234782608695652,0.6563658838071693,0.5169417897480452,0.034564951091318394,3,"all","NB#3","NB",3
366,437,139,209,0.7586805555555556,0.7247524752475247,0.7586805555555556,0.7586805555555556,0.7152209492635024,0.6976542137271937,0.39524406262739115,3,"all","MLP#3","MLP",3
355,345,231,220,0.6173913043478261,0.6106194690265486,0.6173913043478261,0.6173913043478261,0.6115417743324719,0.6081668114682884,0.2163460449781177,4,"all","DT#4","DT",4
344,400,176,231,0.6944444444444444,0.6615384615384615,0.6944444444444444,0.6944444444444444,0.6628003314001657,0.6463944396177237,0.2927296197600948,4,"all","RF#4","RF",4
561,15,561,14,0.9756521739130435,0.5172413793103449,0.9756521739130435,0.9756521739130435,0.6611667648791986,0.5004344048653345,0.0016924429856383582,4,"all","NB#4","NB",4
332,474,102,243,0.8229166666666666,0.7649769585253456,0.8229166666666666,0.8229166666666666,0.7331786542923433,0.7002606429192006,0.40039319963941583,4,"all","MLP#4","MLP",4
346,361,215,229,0.6267361111111112,0.6167557932263814,0.6267361111111112,0.6267361111111112,0.6192109777015438,0.6142484795829714,0.22848007053289177,5,"all","DT#5","DT",5
358,403,173,217,0.6996527777777778,0.6741996233521658,0.6996527777777778,0.6996527777777778,0.6739130434782609,0.6611642050390965,0.3222828811092525,5,"all","RF#5","RF",5
145,493,83,430,0.8559027777777778,0.6359649122807017,0.8559027777777778,0.8559027777777778,0.657771847898599,0.5543006081668115,0.10813333675702695,5,"all","NB#5","NB",5
333,461,115,242,0.8003472222222222,0.7433035714285714,0.8003472222222222,0.8003472222222222,0.7208756841282251,0.6898349261511729,0.3795504270897349,5,"all","MLP#5","MLP",5
361,343,233,214,0.6278260869565218,0.6157989228007181,0.6278260869565218,0.6278260869565218,0.6176218990590248,0.6116420503909644,0.22330579285920252,6,"all","DT#6","DT",6
338,401,175,237,0.6961805555555556,0.6588693957115009,0.6961805555555556,0.6961805555555556,0.6606260296540363,0.6420503909643788,0.2840332277477661,6,"all","RF#6","RF",6
13,563,13,562,0.9774305555555556,0.5004444444444445,0.9774305555555556,0.9774305555555556,0.6619635508524397,0.5004344048653345,0.000039283766285850924,6,"all","NB#6","NB",6
355,406,170,220,0.7048611111111112,0.6761904761904762,0.7048611111111112,0.7048611111111112,0.6755407653910149,0.6611642050390965,0.32227674190382727,6,"all","MLP#6","MLP",6
348,369,207,227,0.640625,0.6270270270270271,0.640625,0.640625,0.6296928327645052,0.6229365768896612,0.2458498143059875,7,"all","DT#7","DT",7
340,414,162,235,0.71875,0.6772908366533864,0.71875,0.71875,0.6759183673469388,0.6550825369244135,0.3100885212289397,7,"all","RF#7","RF",7
335,340,236,240,0.5902777777777778,0.5866900175131349,0.5902777777777778,0.5902777777777778,0.5882352941176471,0.5864465682015638,0.17288751743669944,7,"all","NB#7","NB",7
341,444,132,234,0.7708333333333334,0.7209302325581395,0.7708333333333334,0.7708333333333334,0.7081339712918661,0.682015638575152,0.3639328519790185,7,"all","MLP#7","MLP",7
346,356,220,229,0.6180555555555556,0.6113074204946997,0.6180555555555556,0.6180555555555556,0.6132644272179156,0.6099044309296264,0.21979767237175624,8,"all","DT#8","DT",8
364,421,155,211,0.7309027777777778,0.7013487475915221,0.7309027777777778,0.7309027777777778,0.6970198675496688,0.682015638575152,0.36397702704334906,8,"all","RF#8","RF",8
535,67,509,40,0.9304347826086956,0.6261682242990654,0.9304347826086956,0.9304347826086956,0.6609017912291537,0.5230234578627281,0.04672114701396498,8,"all","NB#8","NB",8
357,460,116,218,0.7986111111111112,0.7547568710359408,0.7986111111111112,0.7986111111111112,0.733652312599681,0.7098175499565595,0.4195452802212902,8,"all","MLP#8","MLP",8
