"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
550,547,29,25,0.9565217391304348,0.9562937062937062,0.9565217391304348,0.9565217391304348,0.953206239168111,0.9530842745438749,0.9061690448729175,0,"all","DT#0","DT",0
555,553,23,20,0.9652173913043478,0.9650959860383944,0.9652173913043478,0.9652173913043478,0.9627059843885516,0.9626411815812337,0.9252826451571023,0,"all","RF#0","RF",0
551,434,142,24,0.9582608695652174,0.9475982532751092,0.9582608695652174,0.9582608695652174,0.8690851735015772,0.8557775847089487,0.7116063261677418,0,"all","NB#0","NB",0
560,549,27,15,0.9739130434782609,0.973404255319149,0.9739130434782609,0.9739130434782609,0.963855421686747,0.9635099913119027,0.9270212496150433,0,"all","MLP#0","MLP",0
553,553,23,22,0.9617391304347827,0.9617391304347827,0.9617391304347827,0.9617391304347827,0.9609035621198958,0.9609035621198957,0.9218071832621025,1,"all","DT#1","DT",1
551,563,13,24,0.9774305555555556,0.9769503546099291,0.9774305555555556,0.9774305555555556,0.9681857265692175,0.9678540399652477,0.9357069637327916,1,"all","RF#1","RF",1
483,551,25,92,0.9565972222222222,0.9507874015748031,0.9565972222222222,0.9565972222222222,0.904019688269073,0.8983492615117289,0.7966778040653266,1,"all","NB#1","NB",1
554,553,23,21,0.9634782608695652,0.9634146341463414,0.9634782608695652,0.9634782608695652,0.9618055555555556,0.9617723718505647,0.9235449168329806,1,"all","MLP#1","MLP",1
537,548,28,38,0.9513888888888888,0.9504424778761061,0.9513888888888888,0.9513888888888888,0.9432013769363167,0.9426585577758471,0.8853152976343241,2,"all","DT#2","DT",2
555,558,18,20,0.96875,0.9685863874345549,0.96875,0.96875,0.9670710571923744,0.9669852302345786,0.9339702112627152,2,"all","RF#2","RF",2
492,550,26,83,0.9548611111111112,0.9498069498069498,0.9548611111111112,0.9548611111111112,0.9098428453267163,0.9052997393570807,0.8105830362818055,2,"all","NB#2","NB",2
548,543,33,27,0.9530434782608695,0.9526315789473684,0.9530434782608695,0.9530434782608695,0.9480968858131488,0.947871416159861,0.8957436979737503,2,"all","MLP#2","MLP",2
545,535,41,30,0.9478260869565217,0.9469026548672567,0.9478260869565217,0.9478260869565217,0.9388458225667528,0.9383145091225021,0.8766309738213888,3,"all","DT#3","DT",3
565,548,28,10,0.9826086956521739,0.982078853046595,0.9826086956521739,0.9826086956521739,0.9674657534246575,0.9669852302345786,0.9339722048615827,3,"all","RF#3","RF",3
545,471,105,30,0.9478260869565217,0.9401197604790419,0.9478260869565217,0.9478260869565217,0.8897959183673468,0.8827106863596872,0.7654477527453866,3,"all","NB#3","NB",3
551,552,24,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9582971329278888,0.9165942028985506,3,"all","MLP#3","MLP",3
543,531,45,32,0.9443478260869566,0.9431616341030196,0.9443478260869566,0.9443478260869566,0.9337919174548581,0.9331016507384883,0.8662058262745448,4,"all","DT#4","DT",4
