"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner_Arr[0]"
4451,4620,507,728,0.901111761263897,0.8977410246066962,0.901111761263897,0.901111761263897,0.8821002386634844,0.8801668930719969,0.7603795383011204,0,"all","DT"
4778,4750,377,401,0.9264677199141799,0.9268671193016489,0.9264677199141799,0.9264677199141799,0.9247145345461583,0.9245099941781486,0.8490196926889507,0,"all","RF"
4130,4353,774,1049,0.8490345231129316,0.8421696574225123,0.8490345231129316,0.8490345231129316,0.8268591509165162,0.8231127498544537,0.6463117326232197,0,"all","NB"
4777,4638,489,402,0.9223788376134389,0.9202380952380952,0.9223788376134389,0.9223788376134389,0.9146960268070847,0.9135455074713759,0.8270718813236873,0,"all","MLP"
4446,4587,540,733,0.8946752486834406,0.8916967509025271,0.8946752486834406,0.8946752486834406,0.8781468364123671,0.8764797205511352,0.75299983044498,1,"all","DT"
4783,4743,384,396,0.92510239906378,0.9256822140507064,0.92510239906378,0.92510239906378,0.924608544364972,0.9243159324665243,0.8486297899167496,1,"all","RF"
4120,4344,783,1059,0.8472791105909889,0.8403018560065266,0.8472791105909889,0.8472791105909889,0.8250712250712251,0.8212691635940229,0.6426258086953536,1,"all","NB"
4789,4629,498,390,0.9246958872369183,0.9222952779438135,0.9246958872369183,0.9246958872369183,0.9151538314542327,0.9138366000388124,0.827650586583578,1,"all","MLP"
4444,4604,523,735,0.8979910278915545,0.894705053352124,0.8979910278915545,0.8979910278915545,0.8798012612268298,0.8779351833883174,0.7559148204258225,2,"all","DT"
4779,4739,388,400,0.9243222157206944,0.9249080704470679,0.9243222157206944,0.9243222157206944,0.9238352986661511,0.9235396856200272,0.847077274941537,2,"all","RF"
4125,4322,805,1054,0.842988102204018,0.8367139959432048,0.842988102204018,0.842988102204018,0.8230029515376559,0.8196196390452164,0.6393180338554536,2,"all","NB"
4782,4621,506,397,0.9233442749565554,0.9208848146671981,0.9233442749565554,0.9233442749565554,0.9137288621381485,0.9123811372016302,0.8247391072937792,2,"all","MLP"
4451,4606,521,728,0.8983811195630973,0.8952131938857603,0.8983811195630973,0.8983811195630973,0.88060414874295,0.8788084610906268,0.7576598715684453,3,"all","DT"
4770,4752,375,409,0.9268578115857227,0.9271137026239067,0.9268578115857227,0.9268578115857227,0.9240604416892677,0.9239278090432758,0.8478568098651118,3,"all","RF"
4125,4342,785,1054,0.8468890189194461,0.840122199592668,0.8468890189194461,0.8468890189194461,0.8252399505844341,0.8215602561614593,0.6432054064411129,3,"all","NB"
4787,4639,488,392,0.9243097122996717,0.9220830848737825,0.9243097122996717,0.9243097122996717,0.9158216950449589,0.9146128468853095,0.8292052910864788,3,"all","MLP"
4448,4605,522,731,0.898186073727326,0.8949698189134809,0.898186073727326,0.898186073727326,0.8802446717002771,0.8784203376673783,0.756884238283463,4,"all","DT"
4783,4758,369,396,0.9280280866003511,0.9283773291925466,0.9280280866003511,0.9280280866003511,0.9259510211983351,0.9257713953037066,0.851542935970431,4,"all","RF"
4132,4336,791,1047,0.8457187439048176,0.839325614462726,0.8457187439048176,0.8457187439048176,0.8251189343482397,0.8216572870172715,0.6433948838205577,4,"all","NB"
4774,4640,487,405,0.921799575207569,0.9197224975222993,0.921799575207569,0.921799575207569,0.9145593869731801,0.9134484766155637,0.8268786457978861,4,"all","MLP"
4442,4585,542,737,0.8942851570118978,0.8912520064205457,0.8942851570118978,0.8942851570118978,0.8775959421954254,0.8758975354162624,0.7518361364454733,5,"all","DT"
