"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner_Arr[0]"
4452,3152,2026,727,0.8596254103108708,0.8125805620005156,0.8596254103108708,0.8596254103108708,0.7638328901089473,0.7341894370956841,0.4683659931468697,0,"all","DT"
4774,3098,2080,405,0.921799575207569,0.8843848130174137,0.921799575207569,0.921799575207569,0.7934845840605004,0.7600656560780149,0.5201163207469475,0,"all","RF"
4129,3171,2007,1050,0.7972581579455493,0.7512437810945274,0.7972581579455493,0.7972581579455493,0.7298276623950508,0.7048373081008014,0.409664077186247,0,"all","NB"
4776,3189,1989,403,0.9221857501448156,0.8878062360801782,0.9221857501448156,0.9221857501448156,0.7997320830542533,0.7690450902771073,0.5380765167333065,0,"all","MLP"
4440,3139,2039,739,0.8573083606873914,0.8094378545642084,0.8573083606873914,0.8573083606873914,0.761708697889861,0.7317756106980786,0.46353821337629647,1,"all","DT"
4776,3034,2144,403,0.9221857501448156,0.8827465813209194,0.9221857501448156,0.9221857501448156,0.7894867344408628,0.7540793666119533,0.5081427625005027,1,"all","RF"
4128,3170,2008,1051,0.7970650704769261,0.7510068704098555,0.7970650704769261,0.7970650704769261,0.7296509058771542,0.7046442019889929,0.40927785806762496,1,"all","NB"
4785,3150,2028,394,0.9239235373624252,0.8888261851015802,0.9239235373624252,0.9239235373624252,0.798032021347565,0.7661484985999807,0.5322827434097757,1,"all","MLP"
4458,3132,2046,721,0.8607839351226105,0.8128730859070854,0.8607839351226105,0.8607839351226105,0.76316014722246,0.732837694313025,0.46566218303977047,2,"all","DT"
4778,3010,2168,401,0.9225719250820622,0.8824391673995896,0.9225719250820622,0.9225719250820622,0.7881237113402062,0.7519551993820605,0.5038940495868909,2,"all","RF"
4140,3141,2037,1039,0.7993821201004054,0.7514354066985646,0.7993821201004054,0.7993821201004054,0.7291299753434308,0.7030028000386213,0.4059945414670887,2,"all","NB"
4803,3131,2047,376,0.9273991117976443,0.8927858568577132,0.9273991117976443,0.9273991117976443,0.798570122204672,0.7660519455440765,0.5320893086080446,2,"all","MLP"
4452,3143,2035,727,0.8596254103108708,0.8121447028423773,0.8596254103108708,0.8596254103108708,0.7632436139207954,0.7333204595925461,0.4666279065257848,3,"all","DT"
4794,3038,2140,385,0.9256613245800348,0.8875255623721882,0.9256613245800348,0.9256613245800348,0.7915462725996864,0.7562035338418461,0.5123911076246334,3,"all","RF"
4178,3170,2008,1001,0.8067194439080904,0.7600095900263726,0.8067194439080904,0.8067194439080904,0.7352397712274528,0.7094718547842039,0.4189327943240318,3,"all","NB"
4798,3136,2042,381,0.926433674454528,0.8916690361103213,0.926433674454528,0.926433674454528,0.7984025293285631,0.7660519455440765,0.5320893958526265,3,"all","MLP"
4467,3160,2018,712,0.8625217223402201,0.8161157024793388,0.8625217223402201,0.8625217223402201,0.7659465020576132,0.7364101573814811,0.4728074725252923,4,"all","DT"
4785,3054,2124,394,0.9239235373624252,0.8857308584686775,0.9239235373624252,0.9239235373624252,0.791694242223693,0.7568794052331757,0.5137431213167275,4,"all","RF"
4139,3156,2022,1040,0.7991890326317822,0.7521448999046711,0.7991890326317822,0.7991890326317822,0.7299823633156965,0.7043545428212803,0.40869825376446345,4,"all","NB"
4793,3173,2005,386,0.9254682371114115,0.8915425681371172,0.9254682371114115,0.9254682371114115,0.8003673707940219,0.7691416433330115,0.5382693444532897,4,"all","MLP"
4458,3107,2071,721,0.8607839351226105,0.8116509926854755,0.8607839351226105,0.8607839351226105,0.7615305773829861,0.7304238679154196,0.4608341596066586,5,"all","DT"
4765,3026,2152,414,0.9200617879899594,0.8796511627906977,0.9200617879899594,0.9200617879899594,0.7878637566137565,0.7522448585497731,0.5044736549565775,5,"all","RF"
