"Training_negative","Classifier","Iteration","TP","TN","FP","FN","Accuracy","Sensitivity","Specificity","Precision","F1","Balanced_accuracy"
"NeRNA","DT",0,1861,806,1111,56,0.695618153364632,0.970787689097548,0.420448617631716,0.626177658142665,0.761300879525465,0.695618153364632
"NeRNA","RF",0,1897,787,1130,20,0.700052164840897,0.989567031820553,0.410537297861242,0.626693095474067,0.767394822006472,0.700052164840897
"NeRNA","NB",0,1716,1037,880,201,0.718049034950443,0.895148669796557,0.54094940010433,0.661016949152542,0.760469754043873,0.718049034950443
"NeRNA","MLP",0,1844,851,1066,73,0.702921231090245,0.961919666145018,0.443922796035472,0.633676975945017,0.76403563289828,0.702921231090245
"Dinucleotide Shuffling","DT",0,1864,771,1146,53,0.687271778821075,0.972352634324465,0.402190923317684,0.619269102990033,0.756647046884514,0.687271778821075
"Dinucleotide Shuffling","RF",0,1896,782,1135,21,0.69848721961398,0.989045383411581,0.40792905581638,0.625536126690861,0.766370250606306,0.69848721961398
"Dinucleotide Shuffling","NB",0,1801,588,1329,116,0.623109024517475,0.939488784559207,0.306729264475743,0.575399361022364,0.713691301763424,0.623109024517475
"Dinucleotide Shuffling","MLP",0,1821,912,1005,96,0.71283255086072,0.949921752738654,0.475743348982786,0.644373673036093,0.76786843769766,0.71283255086072
"Random Shuffling","DT",0,1792,1295,622,125,0.805164319248826,0.934793948878456,0.675534689619197,0.742336371168186,0.827522512121912,0.805164319248826
"Random Shuffling","RF",0,1841,1495,422,76,0.870109546165884,0.960354720918101,0.779864371413667,0.81352187361909,0.880861244019139,0.870109546165884
"Random Shuffling","NB",0,1437,1527,390,480,0.773082942097027,0.749608763693271,0.796557120500782,0.786535303776683,0.767628205128205,0.773082942097027
"Random Shuffling","MLP",0,1643,1567,350,274,0.837245696400626,0.857068335941575,0.817423056859677,0.824385348720522,0.840409207161125,0.837245696400626
