"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
474,482,94,101,0.8368055555555556,0.8345070422535211,0.8368055555555556,0.8368055555555556,0.8317515099223469,0.8305821025195482,0.661160368542542,0,"all","DT#0","DT",0
505,525,51,70,0.9114583333333334,0.908273381294964,0.9114583333333334,0.9114583333333334,0.8966695132365499,0.894874022589053,0.7897418555181989,0,"all","RF#0","RF",0
490,422,154,85,0.8521739130434782,0.8323471400394478,0.8521739130434782,0.8521739130434782,0.8039376538146021,0.792354474370113,0.5847518902771299,0,"all","NB#0","NB",0
500,515,61,75,0.8940972222222222,0.8912655971479501,0.8940972222222222,0.8940972222222222,0.8833619210977701,0.8818418766290183,0.7636785801632281,0,"all","MLP#0","MLP",0
485,445,131,90,0.8434782608695652,0.8317757009345794,0.8434782608695652,0.8434782608695652,0.8144416456759025,0.8079930495221547,0.6160095767019252,1,"all","DT#1","DT",1
485,512,64,90,0.8888888888888888,0.8834244080145719,0.8888888888888888,0.8888888888888888,0.8692699490662139,0.8662033014769766,0.7323958971819546,1,"all","RF#1","RF",1
414,502,74,161,0.8715277777777778,0.8483606557377049,0.8715277777777778,0.8715277777777778,0.8103309120258274,0.7958297132927888,0.591605479584426,1,"all","NB#1","NB",1
463,512,64,112,0.8888888888888888,0.8785578747628083,0.8888888888888888,0.8888888888888888,0.8533333333333333,0.8470894874022589,0.694156581394787,1,"all","MLP#1","MLP",1
455,445,131,120,0.7913043478260869,0.7876106194690266,0.7913043478260869,0.7913043478260869,0.7838070628768302,0.7819287576020851,0.5638644285798393,2,"all","DT#2","DT",2
501,519,57,74,0.9010416666666666,0.8978494623655914,0.9010416666666666,0.9010416666666666,0.8879384088964927,0.8861859252823632,0.7723658366836106,2,"all","RF#2","RF",2
514,368,208,61,0.8939130434782608,0.8578088578088578,0.8939130434782608,0.8939130434782608,0.7925983037779492,0.7662901824500434,0.5326837190418189,2,"all","NB#2","NB",2
494,513,63,81,0.890625,0.8868940754039497,0.890625,0.890625,0.8769230769230768,0.8748913987836664,0.749775809125248,2,"all","MLP#2","MLP",2
470,470,106,105,0.8173913043478261,0.8173913043478261,0.8173913043478261,0.8173913043478261,0.8166811468288445,0.8166811468288445,0.6333625704067477,3,"all","DT#3","DT",3
497,516,60,78,0.8958333333333334,0.8922800718132855,0.8958333333333334,0.8958333333333334,0.8820512820512821,0.8801042571676803,0.7602018170783625,3,"all","RF#3","RF",3
476,465,111,99,0.8278260869565217,0.824468085106383,0.8278260869565217,0.8278260869565217,0.8192771084337348,0.8175499565595135,0.635106248075216,3,"all","NB#3","NB",3
