"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner_Arr[0]"
4183,3619,1559,996,0.8076848812512067,0.7841820151679306,0.8076848812512067,0.8076848812512067,0.7660470652870617,0.7533069421647195,0.5066087005388326,0,"all","DT"
4161,4421,757,1018,0.8538045577443029,0.84607564050427,0.8538045577443029,0.8538045577443029,0.8328152962230385,0.8286183257700106,0.6572383163399101,0,"all","RF"
3118,4137,1041,2061,0.7989571263035922,0.7496994469824477,0.7989571263035922,0.7989571263035922,0.7273206751054851,0.7004924205851115,0.4009962273708251,0,"all","NB"
4048,4475,703,1131,0.8642332947083816,0.8520311513365607,0.8642332947083816,0.8642332947083816,0.829933234421365,0.8229216954716617,0.6458462138079484,0,"all","MLP"
4178,3612,1566,1001,0.8067194439080904,0.7830045523520486,0.8067194439080904,0.8067194439080904,0.7649913027556531,0.7521483054938689,0.5042913843654073,1,"all","DT"
4174,4417,761,1005,0.8530320587099266,0.8457953394123607,0.8530320587099266,0.8530320587099266,0.8333962264150944,0.8294873032731486,0.6589761548129349,1,"all","RF"
3085,4168,1010,2094,0.8049439938200077,0.7533577533577533,0.8049439938200077,0.8049439938200077,0.7286713286713287,0.7002993144733031,0.4006107377134639,1,"all","NB"
4053,4452,726,1126,0.8597914252607184,0.8480853735091023,0.8597914252607184,0.8597914252607184,0.827817032354035,0.8211837404653858,0.642370144798114,1,"all","MLP"
4150,3612,1566,1029,0.8013129947866383,0.7782805429864253,0.8013129947866383,0.8013129947866383,0.7618173474070674,0.7494448199285507,0.498884617839324,2,"all","DT"
4169,4419,759,1010,0.8534183082271147,0.8459821428571429,0.8534183082271147,0.8534183082271147,0.8332233430753276,0.829197644105436,0.6583968836917271,2,"all","RF"
3095,4151,1027,2084,0.8016608729239089,0.7508491023774867,0.8016608729239089,0.8016608729239089,0.7274161044423025,0.6996234430819736,0.3992587198221244,2,"all","NB"
4063,4453,725,1116,0.8599845500193125,0.8485797827903091,0.8599845500193125,0.8599845500193125,0.8286963803852238,0.8222458240803321,0.6444942365507474,2,"all","MLP"
4167,3641,1537,1012,0.8045954817532343,0.7825059101654847,0.8045954817532343,0.8045954817532343,0.7657814940733254,0.7538862605001448,0.5077676981378643,3,"all","DT"
