"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
263,268,51,56,0.8401253918495298,0.8375796178343949,0.8401253918495298,0.8401253918495298,0.833592534992224,0.8322884012539185,0.6645768025078369,0,"all","DT#0","DT",0
268,300,19,51,0.9404388714733543,0.9337979094076655,0.9404388714733543,0.9404388714733543,0.8955223880597015,0.890282131661442,0.780564263322884,0,"all","RF#0","RF",0
264,239,80,55,0.8275862068965517,0.8129251700680272,0.8275862068965517,0.8275862068965517,0.7963800904977376,0.7884012539184952,0.5768025078369905,0,"all","NB#0","NB",0
279,281,38,40,0.8808777429467085,0.8801261829652997,0.8808777429467085,0.8808777429467085,0.8781249999999999,0.877742946708464,0.755485893416928,0,"all","MLP#0","MLP",0
274,282,37,45,0.8840125391849529,0.8810289389067524,0.8840125391849529,0.8840125391849529,0.873065015479876,0.8714733542319749,0.7429467084639498,1,"all","DT#1","DT",1
279,300,19,40,0.9404388714733543,0.9362416107382551,0.9404388714733543,0.9404388714733543,0.9104704097116844,0.9075235109717869,0.8150470219435737,1,"all","RF#1","RF",1
266,246,73,53,0.8338557993730408,0.822742474916388,0.8338557993730408,0.8338557993730408,0.8085106382978724,0.8025078369905956,0.6050156739811912,1,"all","NB#1","NB",1
281,283,36,38,0.8871473354231975,0.886435331230284,0.8871473354231975,0.8871473354231975,0.8843749999999999,0.8840125391849529,0.7680250783699059,1,"all","MLP#1","MLP",1
284,267,52,35,0.890282131661442,0.8841059602649006,0.890282131661442,0.890282131661442,0.8671755725190841,0.8636363636363636,0.7272727272727273,2,"all","DT#2","DT",2
284,296,23,35,0.9278996865203761,0.9250814332247557,0.9278996865203761,0.9278996865203761,0.9107692307692307,0.9090909090909091,0.8181818181818181,2,"all","RF#2","RF",2
268,245,74,51,0.8401253918495298,0.8277027027027027,0.8401253918495298,0.8401253918495298,0.81089258698941,0.8040752351097179,0.6081504702194358,2,"all","NB#2","NB",2
284,278,41,35,0.890282131661442,0.8881789137380192,0.890282131661442,0.890282131661442,0.8819875776397516,0.8808777429467085,0.761755485893417,2,"all","MLP#2","MLP",2
286,270,49,33,0.896551724137931,0.8910891089108911,0.896551724137931,0.896551724137931,0.8746177370030581,0.8714733542319749,0.7429467084639498,3,"all","DT#3","DT",3
290,300,19,29,0.9404388714733543,0.9385113268608414,0.9404388714733543,0.9404388714733543,0.9259259259259259,0.9247648902821317,0.8495297805642634,3,"all","RF#3","RF",3
281,228,91,38,0.8808777429467085,0.8571428571428571,0.8808777429467085,0.8808777429467085,0.813314037626628,0.7978056426332288,0.5956112852664577,3,"all","NB#3","NB",3
