"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
316,307,12,3,0.9905956112852664,0.9903225806451613,0.9905956112852664,0.9905956112852664,0.9768160741885626,0.9764890282131662,0.9529780564263324,0,"all","DT#0","DT",0
316,314,5,3,0.9905956112852664,0.9905362776025236,0.9905956112852664,0.9905956112852664,0.9874999999999999,0.987460815047022,0.974921630094044,0,"all","RF#0","RF",0
305,295,24,14,0.9561128526645768,0.9546925566343042,0.9561128526645768,0.9561128526645768,0.941358024691358,0.9404388714733543,0.8808777429467085,0,"all","NB#0","NB",0
312,313,6,7,0.9811912225705329,0.9811320754716981,0.9811912225705329,0.9811912225705329,0.9796557120500783,0.9796238244514106,0.9592476489028212,0,"all","MLP#0","MLP",0
312,315,4,7,0.987460815047022,0.9873417721518988,0.987460815047022,0.987460815047022,0.982839313572543,0.9827586206896551,0.9655172413793103,1,"all","DT#1","DT",1
313,316,3,6,0.9905956112852664,0.990506329113924,0.9905956112852664,0.9905956112852664,0.985959438377535,0.9858934169278997,0.9717868338557993,1,"all","RF#1","RF",1
310,294,25,9,0.9717868338557993,0.9702970297029703,0.9717868338557993,0.9717868338557993,0.9480122324159022,0.9467084639498433,0.8934169278996866,1,"all","NB#1","NB",1
312,309,10,7,0.9780564263322884,0.9778481012658228,0.9780564263322884,0.9780564263322884,0.9734789391575663,0.9733542319749217,0.9467084639498433,1,"all","MLP#1","MLP",1
303,309,10,16,0.9686520376175548,0.9680511182108626,0.9686520376175548,0.9686520376175548,0.9596273291925467,0.9592476489028213,0.9184952978056427,2,"all","DT#2","DT",2
310,313,6,9,0.9811912225705329,0.9810126582278481,0.9811912225705329,0.9811912225705329,0.9765990639625585,0.9764890282131662,0.9529780564263324,2,"all","RF#2","RF",2
304,295,24,15,0.9529780564263323,0.9516129032258065,0.9529780564263323,0.9529780564263323,0.9397217928902628,0.9388714733542319,0.8777429467084639,2,"all","NB#2","NB",2
306,309,10,13,0.9686520376175548,0.9683544303797469,0.9686520376175548,0.9686520376175548,0.9641185647425897,0.9639498432601881,0.9278996865203761,2,"all","MLP#2","MLP",2
314,300,19,5,0.9843260188087775,0.9836065573770492,0.9843260188087775,0.9843260188087775,0.9631901840490799,0.9623824451410659,0.9247648902821317,3,"all","DT#3","DT",3
315,315,4,4,0.987460815047022,0.987460815047022,0.987460815047022,0.987460815047022,0.987460815047022,0.987460815047022,0.974921630094044,3,"all","RF#3","RF",3
309,292,27,10,0.9686520376175548,0.9668874172185431,0.9686520376175548,0.9686520376175548,0.9435114503816794,0.9420062695924765,0.8840125391849529,3,"all","NB#3","NB",3
313,310,9,6,0.9811912225705329,0.9810126582278481,0.9811912225705329,0.9811912225705329,0.9765990639625585,0.9764890282131662,0.9529780564263324,3,"all","MLP#3","MLP",3
308,309,10,11,0.9686520376175548,0.9685534591194969,0.9686520376175548,0.9686520376175548,0.9671361502347419,0.9670846394984326,0.9341692789968652,4,"all","DT#4","DT",4
