"TruePositives","TrueNegatives","FalsePositives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa","Iteration","Species","learner","learner_Arr[0]","learner_Arr[1]"
289,277,42,30,0.9059561128526645,0.9022801302931596,0.9059561128526645,0.9059561128526645,0.8892307692307692,0.8871473354231975,0.7742946708463949,0,"all","DT#0","DT",0
298,298,21,21,0.9341692789968652,0.9341692789968652,0.9341692789968652,0.9341692789968652,0.9341692789968652,0.9341692789968652,0.8683385579937304,0,"all","RF#0","RF",0
284,250,69,35,0.890282131661442,0.8771929824561403,0.890282131661442,0.890282131661442,0.8452380952380951,0.8369905956112853,0.6739811912225706,0,"all","NB#0","NB",0
303,293,26,16,0.9498432601880877,0.948220064724919,0.9498432601880877,0.9498432601880877,0.9351851851851852,0.9341692789968652,0.8683385579937304,0,"all","MLP#0","MLP",0
276,278,41,43,0.8714733542319749,0.8706624605678234,0.8714733542319749,0.8714733542319749,0.86875,0.8683385579937304,0.7366771159874608,1,"all","DT#1","DT",1
285,300,19,34,0.9404388714733543,0.9375,0.9404388714733543,0.9404388714733543,0.9188361408882082,0.9169278996865203,0.8338557993730407,1,"all","RF#1","RF",1
277,243,76,42,0.8683385579937304,0.8526315789473684,0.8683385579937304,0.8683385579937304,0.8244047619047619,0.8150470219435737,0.6300940438871474,1,"all","NB#1","NB",1
296,283,36,23,0.9278996865203761,0.9248366013071896,0.9278996865203761,0.9278996865203761,0.9093701996927803,0.9075235109717869,0.8150470219435737,1,"all","MLP#1","MLP",1
292,280,39,27,0.9153605015673981,0.9120521172638436,0.9153605015673981,0.9153605015673981,0.8984615384615384,0.896551724137931,0.7931034482758621,2,"all","DT#2","DT",2
299,301,18,20,0.9435736677115988,0.943217665615142,0.9435736677115988,0.9435736677115988,0.940625,0.9404388714733543,0.8808777429467085,2,"all","RF#2","RF",2
284,254,65,35,0.890282131661442,0.8788927335640139,0.890282131661442,0.890282131661442,0.8502994011976048,0.8432601880877743,0.6865203761755485,2,"all","NB#2","NB",2
300,294,25,19,0.9404388714733543,0.939297124600639,0.9404388714733543,0.9404388714733543,0.9316770186335405,0.9310344827586207,0.8620689655172413,2,"all","MLP#2","MLP",2
285,259,60,34,0.8934169278996865,0.8839590443686007,0.8934169278996865,0.8934169278996865,0.858433734939759,0.8526645768025078,0.7053291536050157,3,"all","DT#3","DT",3
297,302,17,22,0.9467084639498433,0.945859872611465,0.9467084639498433,0.9467084639498433,0.9393468118195958,0.9388714733542319,0.8777429467084639,3,"all","RF#3","RF",3
284,247,72,35,0.890282131661442,0.875886524822695,0.890282131661442,0.890282131661442,0.8414814814814815,0.8322884012539185,0.6645768025078369,3,"all","NB#3","NB",3
297,287,32,22,0.9310344827586207,0.9288025889967637,0.9310344827586207,0.9310344827586207,0.9166666666666667,0.9153605015673981,0.8307210031347962,3,"all","MLP#3","MLP",3
283,287,32,36,0.8996865203761756,0.8984126984126984,0.8996865203761756,0.8996865203761756,0.8940809968847353,0.8934169278996865,0.786833855799373,4,"all","DT#4","DT",4
299,302,17,20,0.9467084639498433,0.9462025316455697,0.9467084639498433,0.9467084639498433,0.9422776911076444,0.9420062695924765,0.8840125391849529,4,"all","RF#4","RF",4
282,243,76,37,0.8840125391849529,0.8678571428571429,0.8840125391849529,0.8840125391849529,0.8330871491875924,0.822884012539185,0.64576802507837,4,"all","NB#4","NB",4
298,285,34,21,0.9341692789968652,0.9313725490196079,0.9341692789968652,0.9341692789968652,0.9155145929339478,0.9137931034482759,0.8275862068965518,4,"all","MLP#4","MLP",4
